Timestamp;Size;RAM;CPU;Duration
177489;30;49;88;411710
212124;33;75;98;270617
146704;94;72;87;55904
248203;26;72;64;245049
432542;92;63;92;500200
444116;56;46;50;134879
102417;36;34;77;50911
0;98;35;76;500200
197442;42;44;53;220047
177653;29;37;78;500200
176768;81;71;76;55400
0;39;46;59;366822
500000;97;55;91;469442
500000;96;45;78;259044
0;98;62;63;160905
0;54;46;57;500200
180128;51;66;76;500200
295407;26;52;51;300237
286208;89;57;69;288892
500000;37;39;51;257437
263781;69;45;88;200
263713;35;75;89;450284
469700;49;42;95;276021
152785;49;40;52;500200
307728;34;68;79;96993
371822;24;75;59;369795
217208;96;74;59;90307
53363;29;33;69;210911
500000;81;79;87;261302
75292;84;43;88;75578
469698;64;72;77;71399
332406;38;39;83;226152
268956;21;50;53;250428
162917;90;49;91;500200
463036;91;69;90;270275
500000;80;65;87;253436
54813;47;68;63;500200
36322;81;43;56;272580
360772;68;77;89;456260
500000;90;71;96;346003
106933;61;62;91;200
109372;43;37;68;156737
0;54;40;50;383280
292669;49;61;95;155751
357464;86;57;77;200
402863;33;49;71;200
6;54;54;53;207032
102633;81;47;79;200
493642;60;67;79;291359
381259;28;74;83;58321
409485;62;70;86;277833
239198;30;51;97;494120
460811;46;74;96;500200
350639;67;77;69;61020
500000;64;78;89;320943
500000;36;48;81;317746
148084;28;42;62;500200
0;57;73;80;152441
161453;54;48;55;71224
214647;26;41;86;226882
118738;56;66;94;286096
0;42;50;72;29611
294798;52;57;80;34677
0;77;39;74;500200
0;67;47;65;75770
209280;40;60;73;164336
0;34;50;92;181212
232049;55;45;61;317757
325769;43;63;85;146630
10008;96;35;88;500200
0;75;56;64;200
351922;42;42;58;310551
277085;36;57;72;464237
255185;83;39;68;209530
500000;47;64;68;366237
500000;42;34;69;321834
500000;52;34;77;74387
500000;40;74;59;262952
350882;26;79;65;380061
401543;86;47;50;500200
0;92;60;74;500200
500000;72;34;62;381023
500000;25;56;66;213194
500000;23;33;53;200
406891;47;30;84;500200
500000;79;61;86;302420
500000;95;66;57;200
0;53;48;58;153142
138654;24;44;65;384752
316973;34;46;60;242035
500000;88;38;60;200
310697;59;42;76;500200
37174;37;44;54;200
500000;31;43;68;303387
0;38;67;96;224338
300614;93;67;86;66756
210680;36;39;51;383347
318793;83;34;97;234586
276743;63;59;98;500200
150706;95;34;59;23432
